510,IR-0005509,Issue installing new enterprise edition
511,IR-0005510,Knowledge base editor - Images
512,IR-0005511,business rule sends multiple reports
513,IR-0005512,Need to move SQL to new server
517,IR-0005516,Migration and Upgrade
518,IR-0005517,ChangeGear error report from Ameren
521,IR-0005520,Error trying to reject
522,IR-0005521,Hyperlink editor for Notifications is adding %25 to link each time it's edited
524,IR-0005523,Word wrap when adding comments
525,IR-0005524,LastModifiedBy "closed rfc"
526,IR-0005525,password
527,IR-0005526,Upgrade and customization questions
528,IR-0005527,are these valid fields for an announcement?
529,IR-0005528,ChangeGear Email Connector
532,IR-0005531,CGMobile Config issues
534,IR-0005533,Can they upgrade from 2.0 directly to 3.5? or is 3.0 upgrade required?
535,IR-0005534,License Check (Cirrus)
536,IR-0005535,License Check (FBR)
537,IR-0005536,Login Credentials for MySunView
538,IR-0005537,New license file
539,IR-0005538,Inadvertently upgraded prodution 3.0 DB to 3.5 and need to know what to do
540,IR-0005539,Times changing in RFCs
541,IR-0005540,Can't see Resources from Impacted Resource Chooser on Web
542,IR-0005541,Conditional approvals assistance
544,IR-0005543,Want to upgrade 2.0 to 3.5
545,IR-0005544,What is max length for KB Article
546,IR-0005545,License Check (Purdue)
547,IR-0005546,License Check (Canetic)
548,IR-0005547,License Check (ENIUK)
549,IR-0005548,Can Content of Self Service Portal be edited?
552,IR-0005551,Error viewing My Approvals on DT client
553,IR-0005552,Results of testing ChangeGear 3.5 - Issue importing email templates to BPA Rules
554,IR-0005553,License Check (MarketTools)
556,IR-0005555,Question about running a script from an Alert/BPA
557,IR-0005556,Issues with ChangeGear 2.0 and cgpromote.exe
562,IR-0005561,web service went down again
563,IR-0005562,Error from WP Carey
565,IR-0005564,License Check (Ohio State Youth) Urgent
568,IR-0005567,License Check (Blake Cassels)
569,IR-0005568,Multicast broadcast from ChangeGear server
570,IR-0005569,Cannot Create Relationship Types
571,IR-0005570,Some RFCs are showing up as wrong state in grid and using wrong buttons in editor
572,IR-0005571,RDE won't run as scheduled task
573,IR-0005572,Cant attach attachments to incidents
574,IR-0005573,Licensed CIs for Sutter Connect
575,IR-0005574,Post 3.5 upgrade Announcements - Trial data
577,IR-0005576,build 2430 trouble - Upgrade seems to not work
578,IR-0005577,Date Range and Public Availability for Custom Reports
579,IR-0005578,After upgrading to 3.5 user in Custom Role does not have action buttons available 
580,IR-0005579,License Check (Administaff)
582,IR-0005581,Can feature to reassign to requester on Need More Info be disabled
583,IR-0005582,CMDB on Web is Read Only
584,IR-0005583,Object belongs to another session with creating RFC
585,IR-0005584,License Check (Knology)
586,IR-0005585,Time changing in RFCs
587,IR-0005586,DT Client Login Error: Security.SSPI DeleteSecurityContext failed. Error Code = '80090301'. 
588,IR-0005587,License Check (BC Lottery)
590,IR-0005589,Task Based BPA Does Not Send Email
591,IR-0005590,RDE is overwriting Procurement Details of CIs
592,IR-0005591,License Check (Black & Decker)
593,IR-0005592,License Check (ENI Petroleum)
594,IR-0005593,Need ChangeGear Serial Number
595,IR-0005594,License Check (Chick-Fil-A)
596,IR-0005595,CI and Discovery reporting questions
599,IR-0005598,DT Client Login Error: Security.SSPI DeleteSecurityContext failed. Error Code = '80090301'. 
604,IR-0005603,License Check (Blast Radius)
605,IR-0005604,License Check (BancFirst)
606,IR-0005605,Auto Announce Question
607,IR-0005606,Duplicate email with Announcement rules
608,IR-0005607,Need CG 3.0 lic for extra seats - Prod not upgraded to 3.5 yet
609,IR-0005608,Need more CI licenses
610,IR-0005609,Descriptions do not show on published service announcements when viewing from the self service portal
611,IR-0005610,License Check (Franciscan Skemp)
612,IR-0005611,Cannot fill in IP Address of CI
614,IR-0005613,Cannot find Approvers.Approval Status in Field picker for Conditions on new BPA
615,IR-0005614,Template doesn't work
616,IR-0005615,Need to Scan IBM System i Servers
618,IR-0005617,License Check (CIBC Offshore)
622,IR-0005621,Need URL to Link to RFCs
624,IR-0005623,RFC Opened from Email Link Opens Wrong RFC
626,IR-0005625,Object Reference When Editing BPA
627,IR-0005626,License Check (Mercantile)
628,IR-0005627,Error Logging in to CG DT Client
629,IR-0005628,Questions about implemting RDE - Customer just added CMDB
630,IR-0005629,Unable to access user accounts after updating production server to version 3.5
631,IR-0005630,License Check (Synthes)
632,IR-0005631,ChangeGear error report from BC Lottery Corp
633,IR-0005632,Want to Create Notification Rules
635,IR-0005634,Login Error - Security.SSPI DeleteSecurityContext failed. Error Code = '80090301'
636,IR-0005635,Custom Roles are throwing error when opened in DT Client
637,IR-0005636,Cannot login to CG After 3.5 upgrade
638,IR-0005637,VPN Error caused login error to CG Server
639,IR-0005638,Web Application - Closing RFC does not prompt a SAVE Feature
643,IR-0005642,need mysunview password reset
644,IR-0005643,RE: How to Create RFC ticket thru XML Webservice Layer
645,IR-0005644,License Check (Tolko)
646,IR-0005645,License Check (NHS24)
647,IR-0005646,Some users getting error opening Published view for announcement when accessing CGWeb
648,IR-0005647,License Check (Virtusa)
649,IR-0005648,License Check (Caraustar)
650,IR-0005649,How can we tell what users are using a concurrent seat
652,IR-0005651,Issues with DT Client after 3.5 upgrade
653,IR-0005652,Can't run a Report in My Reports
654,IR-0005653,Erratic behavior with Standard Reports (3.5)
655,IR-0005654,Close Type on Web Not Being Set Properly after 3.5 upgrade
656,IR-0005655,Questions about upgrade (2.0 -> 3.5)
657,IR-0005656,Cannot view attachments from before 3.5 Upgrade
658,IR-0005657,Quote for additional named seats
659,IR-0005658,Editing Approvers Causes Unpredictable Behavior
660,IR-0005659,Licence Check (Toxikon)
662,IR-0005661,ChangeGear database migration
663,IR-0005662,Web users Cannot add Category or Assignee
664,IR-0005663,Submit notification rule sending Resubmit template
665,IR-0005664,Issues witn scanning
666,IR-0005665,Preferences.xml issue
667,IR-0005666,ability to copy a ticket
668,IR-0005667,RDE link does not appear on CMDB tab
669,IR-0005668,CG 3.5 Allowing Closed RFCs to be Edited
670,IR-0005669,Description is getting double entries in IRs
671,IR-0005670,Cannot view custom view after removing preferences.xml
672,IR-0005671,License Check (OSU)
673,IR-0005672,Need to know how to get user logged in to CG from PC that  is not a member of domain
674,IR-0005673,Can views be created to view incidents for only 1 group
675,IR-0005674,Open Ticket Attachment
676,IR-0005675,Some Servers Not Scanning
677,IR-0005676,Errors on client installation - Not pulling customizations from server
678,IR-0005677,Email to Impacted Users/Groups not working
679,IR-0005678,Problem with BPA to Unsubmit and Email when RFC has no Deployment Owner
681,IR-0005680,Questions
682,IR-0005681,Cannot Remove Members of Roles
684,IR-0005683,Tasks View on CGWeb
685,IR-0005684,License Check (Stratosphere)
686,IR-0005685,Licence Check (Long Term Care Group)
687,IR-0005686,Upgrading server to 2K3 SP2
688,IR-0005687,End Users Cannot Edit Unsubmitted RFC
